,profile_id,starts_at,ends_at,title,description,company,location
128,35,2021-06-01,,"Sr. Director, Software Development",,Medpace,"Cincinnati, Ohio, United States"
129,35,2011-01-01,,Freelance Consultant / Owner,"I provide technical consulting and development for regional non-profit organizations.Some of my services and specialties include:• Modern mobile and web app development• Advertisement production for web, print, and TV, including audio/video recording, editing, graphic design, and layout.• Advising clients on hardware/software purchases to streamline and modernize their operations.",solidBit,"Ohio, United States"
130,35,2018-02-01,2020-06-30,"Vice President, Senior Manager, Innovation",,Fifth Third Bank,"Cincinnati, Ohio"
131,35,2016-02-01,2018-02-28,"Director of UI Technologies, Engineering & UX Design",,GE Aviation,"Cincinnati, OH"
132,35,2013-10-01,2016-02-29,"Principal Architect of UI Technologies, Engineering & UX Design",,GE Aviation,San Francisco Bay Area
133,35,2012-04-01,2013-10-31,"Senior Software Architect of UI Technologies, Engineering & UX Design",,GE Aviation,Greater Detroit Area
134,35,2010-07-01,2012-04-30,"Mobility Software Architect Lead of UI Technologies, Engineering & UX Design",,GE Aviation,Greater Detroit Area
135,35,2009-01-01,2010-07-31,"Web and Usability Engineer, Assoc.",,Country Financial,"Bloomington, Illinois, United States"
136,35,2005-06-01,2010-06-30,Managing Consultant / Owner,,Mirror Image Productions,"Bloomington/Normal, Illinois Area"
137,35,2004-08-01,2007-08-31,Director of Training & Client Sales,,Connecting Point Computer Center,"Bloomington/Normal, Illinois Area"
138,35,2003-12-01,2004-11-30,Technology Director,,"First United Methodist Church, Rantoul, IL","Rantoul, IL"
139,36,2021-01-01,,Digital Automation Executive,,IT@Spectrum Ltd,"Hessle, England, United Kingdom"
140,36,2020-09-01,2020-12-31,Construction Sector Business Development Executive,,Arco: Experts In Safety,"Kingston upon Hull, England Metropolitan Area"
141,36,2020-02-01,2020-09-30,Public Sector Business Development Executive,,Arco: Experts In Safety,
142,36,2019-11-01,2020-02-29,Sales Executive,,Arco: Experts In Safety,
